name,age,position,school,draft_pick,season,games,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS
A.J. Brown,22,WR,Mississippi,51.0,2016,12.0,29.0,412.0,2.0,0.0,0.0,0.0
A.J. Brown,22,WR,Mississippi,51.0,2017,12.0,75.0,1252.0,11.0,0.0,0.0,0.0
A.J. Brown,22,WR,Mississippi,51.0,2018,12.0,85.0,1320.0,6.0,0.0,0.0,0.0
A.J. Brown,22,WR,,,,16.0,52.0,1051.0,8.0,,,
Mecole Hardman,21,WR,Georgia,56.0,2016*,11.0,0.0,0.0,0.0,0.0,0.0,0.0
Mecole Hardman,21,WR,Georgia,56.0,2017*,15.0,25.0,418.0,4.0,8.0,61.0,2.0
Mecole Hardman,21,WR,Georgia,56.0,2018*,14.0,34.0,532.0,7.0,5.0,36.0,0.0
Mecole Hardman,21,WR,,,,16.0,26.0,538.0,6.0,,,
JJ Arcega-Whiteside,22,WR,Stanford,57.0,2016*,12.0,24.0,379.0,5.0,0.0,0.0,0.0
JJ Arcega-Whiteside,22,WR,Stanford,57.0,2017*,12.0,48.0,781.0,9.0,0.0,0.0,0.0
JJ Arcega-Whiteside,22,WR,Stanford,57.0,2018*,12.0,63.0,1059.0,14.0,0.0,0.0,0.0
JJ Arcega-Whiteside,22,WR,,,,16.0,10.0,169.0,1.0,,,
Parris Campbell,22,WR,Ohio St.,59.0,2014*,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Parris Campbell,22,WR,Ohio St.,59.0,2015*,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Parris Campbell,22,WR,Ohio St.,59.0,2016*,13.0,13.0,121.0,0.0,4.0,54.0,1.0
Parris Campbell,22,WR,Ohio St.,59.0,2017*,13.0,40.0,584.0,3.0,10.0,132.0,1.0
Parris Campbell,22,WR,Ohio St.,59.0,2018*,14.0,90.0,1063.0,12.0,9.0,24.0,0.0
Parris Campbell,22,WR,,,,7.0,18.0,127.0,1.0,,,
Andy Isabella,22,WR,Massachusetts,62.0,2015,9.0,2.0,7.0,0.0,3.0,28.0,0.0
Andy Isabella,22,WR,Massachusetts,62.0,2016,12.0,62.0,801.0,7.0,12.0,100.0,0.0
Andy Isabella,22,WR,Massachusetts,62.0,2017,12.0,65.0,1020.0,10.0,14.0,135.0,1.0
Andy Isabella,22,WR,Massachusetts,62.0,2018,12.0,102.0,1698.0,13.0,11.0,79.0,1.0
Andy Isabella,22,WR,,,,15.0,9.0,189.0,1.0,,,
D.K. Metcalf,21,WR,Mississippi,64.0,2016,2.0,2.0,13.0,2.0,0.0,0.0,0.0
D.K. Metcalf,21,WR,Mississippi,64.0,2017,12.0,39.0,646.0,7.0,0.0,0.0,0.0
D.K. Metcalf,21,WR,Mississippi,64.0,2018,7.0,26.0,569.0,5.0,0.0,0.0,0.0
D.K. Metcalf,21,WR,,,,16.0,58.0,900.0,7.0,,,
Diontae Johnson,23,WR,Toledo,66.0,2015*,11.0,14.0,237.0,3.0,0.0,0.0,0.0
Diontae Johnson,23,WR,Toledo,66.0,2016*,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Diontae Johnson,23,WR,Toledo,66.0,2017*,14.0,74.0,1278.0,13.0,2.0,9.0,0.0
Diontae Johnson,23,WR,Toledo,66.0,2018*,13.0,49.0,761.0,8.0,2.0,17.0,0.0
Diontae Johnson,23,WR,,,,16.0,59.0,680.0,5.0,,,
Jalen Hurd,23,WR,,,,,,,,,,
Terry McLaurin,23,WR,Ohio St.,76.0,2015*,12.0,0.0,0.0,0.0,0.0,0.0,0.0
Terry McLaurin,23,WR,Ohio St.,76.0,2016*,13.0,11.0,114.0,2.0,0.0,0.0,0.0
Terry McLaurin,23,WR,Ohio St.,76.0,2017*,14.0,29.0,436.0,6.0,0.0,0.0,0.0
Terry McLaurin,23,WR,Ohio St.,76.0,2018*,14.0,35.0,701.0,11.0,0.0,0.0,0.0
Terry McLaurin,23,WR,,,,14.0,58.0,919.0,7.0,,,
Miles Boykin,22,WR,Notre Dame,93.0,2016,11.0,6.0,81.0,1.0,0.0,0.0,0.0
Miles Boykin,22,WR,Notre Dame,93.0,2017*,12.0,12.0,253.0,2.0,0.0,0.0,0.0
Miles Boykin,22,WR,Notre Dame,93.0,2018*,13.0,59.0,872.0,8.0,0.0,0.0,0.0
Miles Boykin,22,WR,,,,16.0,13.0,198.0,3.0,,,
Hakeem Butler,23,WR,Iowa St.,103.0,2016,11.0,9.0,134.0,2.0,0.0,0.0,0.0
Hakeem Butler,23,WR,Iowa St.,103.0,2017*,13.0,41.0,697.0,7.0,0.0,0.0,0.0
Hakeem Butler,23,WR,Iowa St.,103.0,2018*,13.0,60.0,1318.0,9.0,0.0,0.0,0.0
Hakeem Butler,23,WR,,,,2.0,0.0,0.0,0.0,,,
Gary Jennings Jr,22,WR,West Virginia,120.0,2015*,13.0,7.0,116.0,1.0,0.0,0.0,0.0
Gary Jennings Jr,22,WR,West Virginia,120.0,2016*,13.0,10.0,165.0,2.0,0.0,0.0,0.0
Gary Jennings Jr,22,WR,West Virginia,120.0,2017*,13.0,97.0,1096.0,1.0,0.0,0.0,0.0
Gary Jennings Jr,22,WR,West Virginia,120.0,2018*,11.0,54.0,917.0,13.0,0.0,0.0,0.0
Gary Jennings Jr,22,WR,,,,,,,,,,
Riley Ridley,23,WR,Georgia,126.0,2016*,11.0,12.0,238.0,2.0,3.0,41.0,0.0
Riley Ridley,23,WR,Georgia,126.0,2017*,14.0,14.0,218.0,2.0,1.0,5.0,0.0
Riley Ridley,23,WR,Georgia,126.0,2018*,14.0,44.0,570.0,9.0,0.0,0.0,0.0
Riley Ridley,23,WR,,,,5.0,6.0,69.0,0.0,,,
Hunter Renfrow,23,WR,Clemson,149.0,2015*,15.0,33.0,492.0,5.0,0.0,0.0,0.0
Hunter Renfrow,23,WR,Clemson,149.0,2016*,11.0,44.0,495.0,6.0,0.0,0.0,0.0
Hunter Renfrow,23,WR,Clemson,149.0,2017*,14.0,60.0,602.0,3.0,0.0,0.0,0.0
Hunter Renfrow,23,WR,Clemson,149.0,2018*,15.0,49.0,544.0,1.0,0.0,0.0,0.0
Hunter Renfrow,23,WR,,,,13.0,49.0,605.0,4.0,,,
Darius Slayton,22,WR,Auburn,171.0,2016*,13.0,15.0,292.0,1.0,0.0,0.0,0.0
Darius Slayton,22,WR,Auburn,171.0,2017*,13.0,29.0,643.0,5.0,0.0,0.0,0.0
Darius Slayton,22,WR,Auburn,171.0,2018*,12.0,35.0,670.0,5.0,0.0,0.0,0.0
Darius Slayton,22,WR,,,,14.0,48.0,740.0,8.0,,,
KeeSean Johnson,22,WR,Fresno St.,174.0,2014*,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KeeSean Johnson,22,WR,Fresno St.,174.0,2015,12.0,37.0,337.0,2.0,0.0,0.0,0.0
KeeSean Johnson,22,WR,Fresno St.,174.0,2016,12.0,66.0,773.0,6.0,3.0,13.0,0.0
KeeSean Johnson,22,WR,Fresno St.,174.0,2017*,14.0,77.0,1013.0,8.0,1.0,0.0,0.0
KeeSean Johnson,22,WR,Fresno St.,174.0,2018*,14.0,95.0,1340.0,8.0,4.0,14.0,0.0
KeeSean Johnson,22,WR,,,,10.0,21.0,187.0,1.0,,,
Travis Fulgham,23,WR,Old Dominion,184.0,2015,10.0,6.0,89.0,0.0,0.0,0.0,0.0
Travis Fulgham,23,WR,Old Dominion,184.0,2016*,13.0,29.0,478.0,8.0,0.0,0.0,0.0
Travis Fulgham,23,WR,Old Dominion,184.0,2017,12.0,30.0,394.0,1.0,0.0,0.0,0.0
Travis Fulgham,23,WR,Old Dominion,184.0,2018,12.0,63.0,1083.0,9.0,0.0,0.0,0.0
Travis Fulgham,23,WR,,,,3.0,0.0,0.0,0.0,,,
Juwann Winfree,23,WR,Colorado,187.0,2014*,8.0,11.0,158.0,2.0,0.0,0.0,0.0
Juwann Winfree,23,WR,Colorado,187.0,2017,12.0,21.0,325.0,2.0,0.0,0.0,0.0
Juwann Winfree,23,WR,Colorado,187.0,2018,8.0,28.0,324.0,2.0,0.0,0.0,0.0
Juwann Winfree,23,WR,,,,3.0,0.0,0.0,0.0,,,
Marcus Green,23,WR,La-Monroe,203.0,2015,12.0,63.0,698.0,7.0,3.0,5.0,0.0
Marcus Green,23,WR,La-Monroe,203.0,2016,12.0,36.0,344.0,4.0,14.0,119.0,0.0
Marcus Green,23,WR,La-Monroe,203.0,2017,12.0,54.0,829.0,5.0,14.0,175.0,0.0
Marcus Green,23,WR,La-Monroe,203.0,2018,12.0,50.0,855.0,8.0,20.0,193.0,1.0
Marcus Green,23,WR,,,,,,,,,,
Kelvin Harmon,22,WR,North Carolina St.,206.0,2016*,13.0,27.0,462.0,5.0,0.0,0.0,0.0
Kelvin Harmon,22,WR,North Carolina St.,206.0,2017*,13.0,69.0,1017.0,4.0,0.0,0.0,0.0
Kelvin Harmon,22,WR,North Carolina St.,206.0,2018*,12.0,81.0,1186.0,7.0,0.0,0.0,0.0
Kelvin Harmon,22,WR,,,,16.0,30.0,365.0,0.0,,,
Scott Miller,22,WR,Bowling Green,208.0,2015*,10.0,7.0,29.0,0.0,0.0,0.0,0.0
Scott Miller,22,WR,Bowling Green,208.0,2016,12.0,74.0,968.0,10.0,0.0,0.0,0.0
Scott Miller,22,WR,Bowling Green,208.0,2017,12.0,63.0,722.0,4.0,2.0,22.0,0.0
Scott Miller,22,WR,Bowling Green,208.0,2018,11.0,71.0,1148.0,9.0,4.0,16.0,0.0
Scott Miller,22,WR,,,,10.0,13.0,200.0,1.0,,,
John Ursua,25,WR,Hawaii,236.0,2016*,14.0,53.0,652.0,3.0,4.0,8.0,1.0
John Ursua,25,WR,Hawaii,236.0,2017,6.0,47.0,667.0,5.0,0.0,0.0,0.0
John Ursua,25,WR,Hawaii,236.0,2018*,13.0,89.0,1343.0,16.0,2.0,4.0,1.0
John Ursua,25,WR,,,,3.0,1.0,11.0,0.0,,,
Terry Godwin,22,WR,Georgia,237.0,2015*,13.0,35.0,379.0,2.0,7.0,37.0,1.0
Terry Godwin,22,WR,Georgia,237.0,2016*,13.0,38.0,397.0,0.0,4.0,14.0,0.0
Terry Godwin,22,WR,Georgia,237.0,2017*,15.0,38.0,639.0,6.0,0.0,0.0,0.0
Terry Godwin,22,WR,Georgia,237.0,2018*,13.0,22.0,373.0,3.0,0.0,0.0,0.0
Terry Godwin,22,WR,,,,3.0,3.0,32.0,0.0,,,
Dillon Mitchell,22,WR,Oregon,239.0,2016,6.0,2.0,9.0,0.0,0.0,0.0,0.0
Dillon Mitchell,22,WR,Oregon,239.0,2017*,12.0,42.0,517.0,4.0,4.0,6.0,0.0
Dillon Mitchell,22,WR,Oregon,239.0,2018*,13.0,75.0,1184.0,10.0,1.0,5.0,0.0
Dillon Mitchell,22,WR,,,,,,,,,,
Olabisi Johnson,22,WR,Colorado St.,247.0,2015*,13.0,2.0,15.0,1.0,0.0,0.0,0.0
Olabisi Johnson,22,WR,Colorado St.,247.0,2016*,13.0,28.0,613.0,4.0,1.0,13.0,0.0
Olabisi Johnson,22,WR,Colorado St.,247.0,2017*,12.0,41.0,595.0,2.0,0.0,0.0,0.0
Olabisi Johnson,22,WR,Colorado St.,247.0,2018,11.0,54.0,796.0,4.0,0.0,0.0,0.0
Olabisi Johnson,22,WR,,,,16.0,31.0,294.0,3.0,,,
Henry Ruggs III,21,WR,Alabama,12.0,2017*,14.0,12.0,229.0,6.0,0.0,0.0,0.0
Henry Ruggs III,21,WR,Alabama,12.0,2018*,15.0,46.0,741.0,11.0,0.0,0.0,0.0
Henry Ruggs III,21,WR,Alabama,12.0,2019*,12.0,40.0,746.0,7.0,2.0,75.0,1.0
Henry Ruggs III,21,WR,,,,13.0,26.0,452.0,2.0,,,
Jerry Jeudy,21,WR,Alabama,15.0,2017*,14.0,14.0,264.0,2.0,0.0,0.0,0.0
Jerry Jeudy,21,WR,Alabama,15.0,2018*,15.0,68.0,1315.0,14.0,0.0,0.0,0.0
Jerry Jeudy,21,WR,Alabama,15.0,2019*,13.0,77.0,1163.0,10.0,1.0,1.0,0.0
Jerry Jeudy,21,WR,,,,16.0,52.0,856.0,3.0,,,
CeeDee Lamb,21,WR,Oklahoma,17.0,2017*,14.0,46.0,807.0,7.0,0.0,0.0,0.0
CeeDee Lamb,21,WR,Oklahoma,17.0,2018*,14.0,65.0,1158.0,11.0,0.0,0.0,0.0
CeeDee Lamb,21,WR,Oklahoma,17.0,2019*,13.0,62.0,1327.0,14.0,9.0,20.0,1.0
CeeDee Lamb,21,WR,,,,16.0,74.0,935.0,5.0,,,
Jalen Reagor,21,WR,TCU,21.0,2017*,14.0,33.0,576.0,8.0,8.0,65.0,0.0
Jalen Reagor,21,WR,TCU,21.0,2018*,13.0,72.0,1061.0,9.0,13.0,170.0,2.0
Jalen Reagor,21,WR,TCU,21.0,2019,12.0,43.0,611.0,5.0,14.0,89.0,0.0
Jalen Reagor,21,WR,,,,11.0,31.0,396.0,1.0,,,
Justin Jefferson,21,WR,LSU,22.0,2017*,6.0,0.0,0.0,0.0,1.0,4.0,0.0
Justin Jefferson,21,WR,LSU,22.0,2018*,13.0,54.0,875.0,6.0,5.0,26.0,0.0
Justin Jefferson,21,WR,LSU,22.0,2019*,15.0,111.0,1540.0,18.0,0.0,0.0,0.0
Justin Jefferson,21,WR,,,,16.0,88.0,1400.0,7.0,,,
Brandon Aiyuk,22,WR,Arizona St.,25.0,2018*,13.0,33.0,474.0,3.0,0.0,0.0,0.0
Brandon Aiyuk,22,WR,Arizona St.,25.0,2019*,12.0,65.0,1192.0,8.0,1.0,6.0,0.0
Brandon Aiyuk,22,WR,,,,12.0,60.0,748.0,5.0,,,
Tee Higgins,21,WR,Clemson,33.0,2017*,13.0,17.0,345.0,2.0,0.0,0.0,0.0
Tee Higgins,21,WR,Clemson,33.0,2018*,15.0,59.0,936.0,12.0,0.0,0.0,0.0
Tee Higgins,21,WR,Clemson,33.0,2019*,15.0,59.0,1167.0,13.0,1.0,36.0,1.0
Tee Higgins,21,WR,,,,16.0,67.0,908.0,6.0,,,
Michael Pittman Jr.,22,WR,USC,34.0,2016*,13.0,6.0,82.0,0.0,0.0,0.0,0.0
Michael Pittman Jr.,22,WR,USC,34.0,2017*,11.0,23.0,404.0,2.0,0.0,0.0,0.0
Michael Pittman Jr.,22,WR,USC,34.0,2018,11.0,41.0,758.0,6.0,1.0,9.0,0.0
Michael Pittman Jr.,22,WR,USC,34.0,2019*,13.0,101.0,1275.0,11.0,0.0,0.0,0.0
Michael Pittman Jr.,22,WR,,,,13.0,40.0,503.0,1.0,,,
Laviska Shenault Jr.,21,WR,Colorado,42.0,2017,12.0,7.0,168.0,0.0,2.0,4.0,0.0
Laviska Shenault Jr.,21,WR,Colorado,42.0,2018,9.0,86.0,1011.0,6.0,17.0,115.0,5.0
Laviska Shenault Jr.,21,WR,Colorado,42.0,2019,11.0,56.0,764.0,4.0,23.0,161.0,2.0
Laviska Shenault Jr.,21,WR,,,,14.0,58.0,600.0,5.0,,,
KJ Hamler,21,WR,Penn St.,46.0,2018*,13.0,42.0,754.0,5.0,4.0,44.0,1.0
KJ Hamler,21,WR,Penn St.,46.0,2019*,13.0,56.0,904.0,8.0,13.0,43.0,0.0
KJ Hamler,21,WR,,,,13.0,30.0,381.0,3.0,,,
Chase Claypool,22,WR,Notre Dame,49.0,2016,11.0,5.0,81.0,0.0,1.0,9.0,0.0
Chase Claypool,22,WR,Notre Dame,49.0,2017*,12.0,29.0,402.0,2.0,2.0,-3.0,0.0
Chase Claypool,22,WR,Notre Dame,49.0,2018*,13.0,50.0,639.0,4.0,0.0,0.0,0.0
Chase Claypool,22,WR,Notre Dame,49.0,2019*,13.0,66.0,1037.0,13.0,0.0,0.0,0.0
Chase Claypool,22,WR,,,,16.0,62.0,873.0,9.0,,,
Van Jefferson,24,WR,Florida,57.0,2016,12.0,49.0,543.0,3.0,5.0,40.0,0.0
Van Jefferson,24,WR,Florida,57.0,2017,10.0,42.0,456.0,1.0,0.0,0.0,0.0
Van Jefferson,24,WR,Florida,57.0,2018*,13.0,35.0,503.0,6.0,0.0,0.0,0.0
Van Jefferson,24,WR,Florida,57.0,2019*,13.0,49.0,657.0,6.0,1.0,7.0,0.0
Van Jefferson,24,WR,,,,16.0,19.0,220.0,1.0,,,
Denzel Mims,22,WR,Baylor,59.0,2016*,10.0,4.0,24.0,0.0,0.0,0.0,0.0
Denzel Mims,22,WR,Baylor,59.0,2017,12.0,61.0,1087.0,8.0,1.0,-6.0,0.0
Denzel Mims,22,WR,Baylor,59.0,2018*,12.0,55.0,794.0,8.0,0.0,0.0,0.0
Denzel Mims,22,WR,Baylor,59.0,2019*,14.0,66.0,1020.0,12.0,0.0,0.0,0.0
Denzel Mims,22,WR,,,,9.0,23.0,357.0,0.0,,,
Lynn Bowden Jr.,22,WR,,,,10.0,28.0,211.0,0.0,,,
Bryan Edwards,21,WR,South Carolina,81.0,2016*,12.0,44.0,590.0,4.0,0.0,0.0,0.0
Bryan Edwards,21,WR,South Carolina,81.0,2017*,13.0,64.0,793.0,5.0,4.0,19.0,0.0
Bryan Edwards,21,WR,South Carolina,81.0,2018*,13.0,55.0,846.0,7.0,0.0,0.0,0.0
Bryan Edwards,21,WR,South Carolina,81.0,2019,10.0,71.0,816.0,6.0,2.0,22.0,0.0
Bryan Edwards,21,WR,,,,12.0,11.0,193.0,1.0,,,
Devin Duvernay,22,WR,Texas,92.0,2016,11.0,20.0,412.0,3.0,0.0,0.0,0.0
Devin Duvernay,22,WR,Texas,92.0,2017*,13.0,9.0,124.0,0.0,0.0,0.0,0.0
Devin Duvernay,22,WR,Texas,92.0,2018*,14.0,41.0,546.0,4.0,1.0,10.0,0.0
Devin Duvernay,22,WR,Texas,92.0,2019*,13.0,106.0,1386.0,9.0,10.0,24.0,1.0
Devin Duvernay,22,WR,,,,16.0,20.0,201.0,0.0,,,
Gabriel Davis,21,WR,Central Florida,128.0,2017*,13.0,27.0,391.0,4.0,0.0,0.0,0.0
Gabriel Davis,21,WR,Central Florida,128.0,2018*,12.0,53.0,815.0,7.0,0.0,0.0,0.0
Gabriel Davis,21,WR,Central Florida,128.0,2019*,12.0,72.0,1241.0,12.0,0.0,0.0,0.0
Gabriel Davis,21,WR,,,,16.0,35.0,599.0,7.0,,,
Antonio Gandy-Golden,22,WR,Liberty,142.0,2018,11.0,71.0,1037.0,10.0,0.0,0.0,0.0
Antonio Gandy-Golden,22,WR,Liberty,142.0,2019*,13.0,79.0,1396.0,10.0,0.0,0.0,0.0
Antonio Gandy-Golden,22,WR,,,,6.0,1.0,3.0,0.0,,,
Joe Reed,22,WR,Virginia,151.0,2016,12.0,4.0,77.0,0.0,2.0,3.0,0.0
Joe Reed,22,WR,Virginia,151.0,2017*,12.0,23.0,244.0,2.0,21.0,112.0,1.0
Joe Reed,22,WR,Virginia,151.0,2018*,13.0,25.0,465.0,7.0,3.0,15.0,0.0
Joe Reed,22,WR,Virginia,151.0,2019*,13.0,77.0,679.0,7.0,8.0,42.0,0.0
Joe Reed,22,WR,,,,,,,,,,
Tyler Johnson,22,WR,Minnesota,161.0,2016*,13.0,14.0,141.0,1.0,0.0,0.0,0.0
Tyler Johnson,22,WR,Minnesota,161.0,2017,10.0,35.0,677.0,7.0,0.0,0.0,0.0
Tyler Johnson,22,WR,Minnesota,161.0,2018*,13.0,78.0,1169.0,12.0,0.0,0.0,0.0
Tyler Johnson,22,WR,Minnesota,161.0,2019*,11.0,72.0,1107.0,10.0,0.0,0.0,0.0
Tyler Johnson,22,WR,,,,14.0,12.0,169.0,2.0,,,
Collin Johnson,22,WR,Texas,165.0,2016,11.0,28.0,315.0,3.0,0.0,0.0,0.0
Collin Johnson,22,WR,Texas,165.0,2017*,13.0,54.0,765.0,2.0,0.0,-7.0,0.0
Collin Johnson,22,WR,Texas,165.0,2018*,13.0,68.0,985.0,7.0,0.0,0.0,0.0
Collin Johnson,22,WR,Texas,165.0,2019*,7.0,38.0,559.0,3.0,0.0,0.0,0.0
Collin Johnson,22,WR,,,,14.0,18.0,272.0,2.0,,,
Quintez Cephus,22,WR,Wisconsin,166.0,2016*,14.0,4.0,94.0,0.0,5.0,41.0,0.0
Quintez Cephus,22,WR,Wisconsin,166.0,2017*,10.0,30.0,501.0,6.0,4.0,5.0,0.0
Quintez Cephus,22,WR,Wisconsin,166.0,2019*,14.0,59.0,901.0,7.0,0.0,0.0,0.0
Quintez Cephus,22,WR,,,,13.0,20.0,349.0,2.0,,,
John Hightower,24,WR,Boise St.,168.0,2018,10.0,31.0,504.0,6.0,8.0,163.0,2.0
John Hightower,24,WR,Boise St.,168.0,2019*,14.0,51.0,943.0,8.0,16.0,154.0,0.0
John Hightower,24,WR,,,,13.0,10.0,167.0,0.0,,,
Isaiah Coulter,21,WR,Rhode Island,171.0,2018,10.0,31.0,504.0,6.0,8.0,163.0,2.0
Isaiah Coulter,21,WR,Rhode Island,171.0,2019*,14.0,51.0,943.0,8.0,16.0,154.0,0.0
Isaiah Coulter,21,WR,,,,1.0,0.0,0.0,0.0,,,
Darnell Mooney,22,WR,Tulane,173.0,2016,12.0,24.0,267.0,2.0,4.0,22.0,0.0
Darnell Mooney,22,WR,Tulane,173.0,2017,12.0,34.0,599.0,4.0,0.0,0.0,0.0
Darnell Mooney,22,WR,Tulane,173.0,2018*,13.0,48.0,993.0,8.0,1.0,6.0,0.0
Darnell Mooney,22,WR,Tulane,173.0,2019*,13.0,48.0,713.0,5.0,0.0,0.0,0.0
Darnell Mooney,22,WR,,,,16.0,61.0,631.0,4.0,,,
K.J. Osborn,23,WR,Miami (FL),176.0,2016,12.0,8.0,105.0,1.0,0.0,0.0,0.0
K.J. Osborn,23,WR,Miami (FL),176.0,2017,12.0,35.0,493.0,4.0,4.0,22.0,1.0
K.J. Osborn,23,WR,Miami (FL),176.0,2018*,14.0,53.0,892.0,7.0,5.0,16.0,0.0
K.J. Osborn,23,WR,Miami (FL),176.0,2019*,13.0,50.0,547.0,5.0,5.0,15.0,0.0
K.J. Osborn,23,WR,,,,9.0,0.0,0.0,0.0,,,
Donovan Peoples-Jones,21,WR,Michigan,187.0,2017*,13.0,22.0,277.0,0.0,4.0,57.0,0.0
Donovan Peoples-Jones,21,WR,Michigan,187.0,2018*,13.0,47.0,612.0,8.0,3.0,37.0,0.0
Donovan Peoples-Jones,21,WR,Michigan,187.0,2019*,11.0,34.0,438.0,6.0,2.0,-7.0,0.0
Donovan Peoples-Jones,21,WR,,,,12.0,14.0,304.0,2.0,,,
Quez Watkins,22,WR,Southern Miss,200.0,2017*,13.0,23.0,337.0,2.0,0.0,0.0,0.0
Quez Watkins,22,WR,Southern Miss,200.0,2018,11.0,72.0,889.0,9.0,4.0,11.0,0.0
Quez Watkins,22,WR,Southern Miss,200.0,2019*,12.0,64.0,1178.0,6.0,1.0,1.0,0.0
Quez Watkins,22,WR,,,,6.0,7.0,106.0,1.0,,,
James Proche,23,WR,SMU,201.0,2016,12.0,57.0,709.0,6.0,4.0,15.0,0.0
James Proche,23,WR,SMU,201.0,2017*,13.0,40.0,816.0,6.0,0.0,0.0,0.0
James Proche,23,WR,SMU,201.0,2018,12.0,93.0,1199.0,12.0,2.0,17.0,0.0
James Proche,23,WR,SMU,201.0,2019*,13.0,111.0,1225.0,15.0,4.0,18.0,0.0
James Proche,23,WR,,,,14.0,1.0,14.0,0.0,,,
Isaiah Hodgins,21,WR,Oregon St.,207.0,2017,11.0,31.0,275.0,2.0,0.0,0.0,0.0
Isaiah Hodgins,21,WR,Oregon St.,207.0,2018,11.0,59.0,876.0,5.0,0.0,0.0,0.0
Isaiah Hodgins,21,WR,Oregon St.,207.0,2019,12.0,86.0,1171.0,13.0,0.0,0.0,0.0
Isaiah Hodgins,21,WR,,,,1.0,0.0,0.0,0.0,,,
Dezmon Patmon,22,WR,Washington St.,212.0,2016*,3.0,2.0,19.0,0.0,0.0,0.0,0.0
Dezmon Patmon,22,WR,Washington St.,212.0,2017*,13.0,35.0,379.0,0.0,0.0,0.0,0.0
Dezmon Patmon,22,WR,Washington St.,212.0,2018*,13.0,61.0,816.0,5.0,0.0,0.0,0.0
Dezmon Patmon,22,WR,Washington St.,212.0,2019*,13.0,58.0,762.0,8.0,0.0,0.0,0.0
Dezmon Patmon,22,WR,,,,1.0,0.0,0.0,0.0,,,
Freddie Swain,22,WR,Florida,214.0,2016*,13.0,8.0,118.0,2.0,0.0,0.0,0.0
Freddie Swain,22,WR,Florida,214.0,2017,11.0,8.0,96.0,1.0,0.0,0.0,0.0
Freddie Swain,22,WR,Florida,214.0,2018*,11.0,14.0,265.0,5.0,0.0,0.0,0.0
Freddie Swain,22,WR,Florida,214.0,2019*,12.0,38.0,517.0,7.0,4.0,27.0,0.0
Freddie Swain,22,WR,,,,16.0,13.0,159.0,2.0,,,
Jauan Jennings,23,WR,Tennessee,217.0,2015*,11.0,14.0,149.0,0.0,7.0,15.0,0.0
Jauan Jennings,23,WR,Tennessee,217.0,2016*,13.0,40.0,580.0,7.0,5.0,27.0,0.0
Jauan Jennings,23,WR,Tennessee,217.0,2017,2.0,3.0,17.0,0.0,0.0,0.0,0.0
Jauan Jennings,23,WR,Tennessee,217.0,2018,12.0,30.0,438.0,3.0,0.0,0.0,0.0
Jauan Jennings,23,WR,Tennessee,217.0,2019*,13.0,59.0,969.0,8.0,13.0,51.0,1.0
Jauan Jennings,23,WR,,,,16.0,24.0,282.0,5.0,,,
K.J. Hill,22,WR,Ohio St.,220.0,2016*,11.0,18.0,262.0,1.0,0.0,0.0,0.0
K.J. Hill,22,WR,Ohio St.,220.0,2017*,14.0,56.0,549.0,3.0,2.0,1.0,0.0
K.J. Hill,22,WR,Ohio St.,220.0,2018*,14.0,70.0,885.0,6.0,1.0,-3.0,0.0
K.J. Hill,22,WR,Ohio St.,220.0,2019*,14.0,57.0,636.0,10.0,1.0,1.0,0.0
K.J. Hill,22,WR,,,,15.0,7.0,73.0,0.0,,,
Tyrie Cleveland,22,WR,Florida,252.0,2016*,11.0,14.0,298.0,2.0,0.0,0.0,0.0
Tyrie Cleveland,22,WR,Florida,252.0,2017,10.0,22.0,410.0,2.0,2.0,6.0,0.0
Tyrie Cleveland,22,WR,Florida,252.0,2018*,12.0,18.0,212.0,3.0,0.0,0.0,0.0
Tyrie Cleveland,22,WR,Florida,252.0,2019*,13.0,25.0,351.0,1.0,0.0,0.0,0.0
Tyrie Cleveland,22,WR,,,,10.0,6.0,63.0,0.0,,,
Ja'Marr Chase,21,WR,LSU,5.0,2018*,13.0,23.0,313.0,3.0,0.0,0.0,0.0
Ja'Marr Chase,21,WR,LSU,5.0,2019*,14.0,84.0,1780.0,20.0,1.0,5.0,0.0
Ja'Marr Chase,21,WR,,,,17.0,81.0,1455.0,13.0,,,
Jaylen Waddle,22,WR,Alabama,6.0,2018*,15.0,45.0,848.0,7.0,0.0,0.0,0.0
Jaylen Waddle,22,WR,Alabama,6.0,2019*,13.0,33.0,560.0,6.0,1.0,5.0,0.0
Jaylen Waddle,22,WR,Alabama,6.0,2020*,6.0,28.0,591.0,4.0,3.0,12.0,0.0
Jaylen Waddle,22,WR,,,,16.0,104.0,1015.0,6.0,,,
DeVonta Smith,22,WR,Alabama,10.0,2017*,14.0,8.0,160.0,3.0,0.0,0.0,0.0
DeVonta Smith,22,WR,Alabama,10.0,2018*,14.0,42.0,693.0,6.0,0.0,0.0,0.0
DeVonta Smith,22,WR,Alabama,10.0,2019*,13.0,68.0,1256.0,14.0,0.0,0.0,0.0
DeVonta Smith,22,WR,Alabama,10.0,2020*,13.0,117.0,1856.0,23.0,4.0,6.0,1.0
DeVonta Smith,22,WR,,,,17.0,64.0,916.0,5.0,,,
